,ID,Food Concept,URLs
953,B000953,PEANUT BRITTLE,NCBITaxon_3818;FOODON_03302000
954,B000954,MAPLE BUTTER,FOODON_03302509;FOODON_03310351
955,B000955,MALTED MILK BALL,FOODON_03304394;FOODON_03301818
956,B000956,SUGAR CUBE,FOODON_03420108;FOODON_03316445
957,B000957,INNER BAG,FOODON_03490420
958,B000958,FORTUNE COOKIE,FOODON_03301585;FOODON_03303150
959,B000959,PLANT,FOODON_03411347
960,B000960,CUSTARD MIX,FOODON_03302946;FOODON_03315400
961,B000961,PEANUT CANDY,FOODON_03301051;NCBITaxon_3818;FOODON_03310296
962,B000962,WRACKS,FOODON_03414510
963,B000963,CREAM PUFF,FOODON_03311177
964,B000964,SWEET BASIL,NCBITaxon_39350
965,B000965,SHARKS,NCBITaxon_119203
966,B000966,BREAKFAST CEREAL,FOODON_03311075
967,B000967,SODA CRACKER,FOODON_03302571
968,B000968,BLACK WALNUT,FOODON_03316466;NCBITaxon_16719
969,B000969,CAKE MIX (DRY),FOODON_03302535;FOODON_03317068
970,B000970,OATMEAL COOKIE,FOODON_03301585;FOODON_03305157
971,B000971,HAMBURGER BUN,FOODON_03302319
972,B000972,WHITE ROLL,FOODON_03303181
973,B000973,ORANGE BEVERAGE,FOODON_03301977;FOODON_03309832;FOODON_03302385
974,B000974,ORANGE DRINK MIX,FOODON_03305778;FOODON_03301100
975,B000975,CAT,NCBITaxon_9685
976,B000976,GRAPEFRUIT PEEL,NCBITaxon_37656;FOODON_03305560
977,B000977,INSTANT TEA POWDER,FOODON_03317489
978,B000978,PROPANE,CHEBI_32879
979,B000979,GRENADINE SYRUP,FOODON_03303225;FOODON_03305436
980,B000980,REINDEER,FOODON_03411509;NCBITaxon_9870
981,B000981,CANDIED CITRON,FOODON_03301790;NCBITaxon_171251
982,B000982,PINEAPPLE JAM,FOODON_03305242;NCBITaxon_4615;FOODON_03309973
983,B000983,SCOTCH WHISKEY,FOODON_03302775;FOODON_03307232
984,B000984,SALAD OIL,FOODON_03306562;FOODON_03310387;FOODON_03316042
985,B000985,TURTLE,FOODON_03411242
986,B000986,ASCORBIC ACID,CHEBI_22652
987,B000987,PETIT FOUR,FOODON_03301937
988,B000988,CHOCOLATE FUDGE TOPPING,FOODON_03307240;FOODON_03301728;FOODON_03303604
989,B000989,TONGUE,UBERON_0001723
990,B000990,BRANDY SAUCE,FOODON_03304011;FOODON_03301632;FOODON_03311146
991,B000991,AMMONIUM CARBONATE,FOODON_03412997
992,B000992,LEMONADE DRINK,FOODON_03301630;FOODON_03305154
993,B000993,SNAIL SHELL,FOODON_03308706;FOODON_03412114
994,B000994,SNAIL,FOODON_03412114
995,B000995,PEACH PIE FILLING,FOODON_03306673;FOODON_03306766;FOODON_03306759
996,B000996,PEACH PIE,NCBITaxon_3760;FOODON_03306759
997,B000997,BIRDS,NCBITaxon_8782
998,B000998,COFFEE SYRUP,FOODON_03303225;FOODON_03304323
999,B000999,LEMONADE-FLAVORED DRINK,FOODON_03306243;FOODON_03301630
1000,B001000,CRABAPPLE JELLY,FOODON_03305888
1001,B001001,CHOCOLATE ROLL,FOODON_03307240;FOODON_03311854
1002,B001002,HOT TUB,ENVO_01000938
1003,B001003,CANADA,GAZ_00002560
1004,B001004,COOKING WINE,FOODON_03307299
1005,B001005,FRUIT SALAD,FOODON_03305148;PO_0009001;FOODON_03316042
1006,B001006,BLACK CURRANT SYRUP,FOODON_03303225;FOODON_03307716
1007,B001007,MINT CANDY,FOODON_03301051;FOODON_03303760
1008,B001008,WINE SAUCE,FOODON_03311146;FOODON_03307297
1009,B001009,TURTLES,NCBITaxon_8459
1010,B001010,SHOP,ENVO_00002221
1011,B001011,APPLE COOKIE,FOODON_03301922;FOODON_03301585;FOODON_03301710
1012,B001012,METAL CONTAINER,FOODON_03500041;FOODON_03490151
1013,B001013,FAT SUBSTITUTE,FOODON_03311714
1014,B001014,BOUILLON POWDER,FOODON_03301468;FOODON_03317090
1015,B001015,PEAR NECTAR,FOODON_03301724;FOODON_03301289
1016,B001016,ROSE WINE,FOODON_03310734
1017,B001017,BOTTLE OR JAR,FOODON_03490203;FOODON_03490214;FOODON_03490215
1018,B001018,CORK,FOODON_03500046
1019,B001019,CRANBERRY CONCENTRATE,FOODON_03301106
1020,B001020,MALT LIQUOR,FOODON_03315625;FOODON_03306040
1021,B001021,CRANBERRY JUICE CONCENTRATE,FOODON_03305748;FOODON_03301671
1022,B001022,CRANBERRY JUICE COCKTAIL,FOODON_03301533;FOODON_03301671
1023,B001023,HIBISCUS,NCBITaxon_47605
1024,B001024,RED RASPBERRY,NCBITaxon_32247
1025,B001025,SPARKLING GRAPE JUICE,FOODON_00001926;FOODON_03304276
1026,B001026,COCONUT SYRUP,FOODON_03307523;FOODON_03303225
1027,B001027,LEMON SODA,FOODON_03302411;FOODON_03301441
1028,B001028,ROCK CANDY,FOODON_03303745;FOODON_03301051
1029,B001029,WITCH,NCBITaxon_34819
1030,B001030,ORGEAT SYRUP,FOODON_03303225;FOODON_03301064
1031,B001031,CRANBERRY JUICE DRINK,FOODON_03306182;FOODON_03301671
1032,B001032,LIME DRINK MIX,FOODON_03305086;FOODON_03302237
1033,B001033,BEVERAGE MIX,FOODON_03315247;FOODON_03301977
1034,B001034,MALT EXTRACT,FOODON_03301056;FOODON_03306040
1035,B001035,IRISH MOSS,FOODON_03411742;hancestro_0383;NCBITaxon_2769
1036,B001036,CORN SUGAR,FOODON_03301475;NCBITaxon_381124;FOODON_03420108
1037,B001037,NYLON,FOODON_03500027
1038,B001038,APERITIF WINE,FOODON_03317565
1039,B001039,WILD TURKEY,FOODON_03414166;NCBITaxon_9103
1040,B001040,PINK GRAPEFRUIT,NCBITaxon_37656;FOODON_03311296
1041,B001041,FISH OIL,FOODON_03310387;FOODON_03306123;FOODON_03411222
1042,B001042,VERBENA,NCBITaxon_22002;FOODON_03413479
1043,B001043,BARBADOS,GAZ_00001251
1044,B001044,ORANGE-FLAVORED DRINK,FOODON_03301669;FOODON_03309832
1045,B001045,ORANGE YOGURT,FOODON_03309832;FOODON_03309602
1046,B001046,VIETNAMESE,ancestro_0502;hancestro_0502
1047,B001047,COCKTAIL ONION,FOODON_03316347;FOODON_03306563
1048,B001048,PINEAPPLE PULP,FOODON_03306782;NCBITaxon_4615
1049,B001049,SOURSOP,NCBITaxon_13337
1050,B001050,SPRING WATER,ENVO_00000027;FOODON_03307813;ENVO_00002006
1051,B001051,APPLE WINE,FOODON_03301710;FOODON_03301134
1052,B001052,FRUIT-FLAVORED SYRUP,FOODON_03303225;FOODON_03311362
1053,B001053,PAIL,FOODON_03490219
1054,B001054,LYCHEE FRUIT,PO_0009001;NCBITaxon_151069;FOODON_03310417
1055,B001055,GOATS,NCBITaxon_9925
1056,B001056,BRAIN,UBERON_0000955
1057,B001057,BEEF GRAVY MIX,FOODON_03303557;FOODON_03310598
1058,B001058,FLANK,FOODON_03530022
1059,B001059,ORANGE ROUGHY,FOODON_03309832;NCBITaxon_96778;FOODON_03412327;FOODON_03412328
1060,B001060,ROUGHY,FOODON_03412327
1061,B001061,CHICKEN FAT,FOODON_03411457;FOODON_03305091
1062,B001062,SEA BASS,FOODON_03412180;ENVO_00000016
1063,B001063,IN BRINE,FOODON_03401212;FOODON_03302715
1064,B001064,CHIVE,NCBITaxon_74900
1065,B001065,HOT PEPPER PASTE,FOODON_03306738
1066,B001066,GROUPER,FOODON_03411496
1067,B001067,BEEF DRIPPINGS,FOODON_03304174
1068,B001068,SNAPPER,FOODON_03411510
