ID|Food Concept|Semantic Tags
A006269|STRAWBERRY GELATIN MIX|AG.01.n.18 [Preserve];AG.01.h.01.b [Berry];AG.01.m [Substances for food preparation]
A006270|RHUBARB PUDDING MIXTURE|AG.01.h.02.b [Stalk vegetables];AG.01.af [Tea manufacture];AG.01.n.03 [Puddings]
A006271|RHUBARB FILLING|AG.01.h.02.b [Stalk vegetables]
A006272|CINNAMON WALNUT MIXTURE|AG.01.l.03 [Spice];AG.01.af [Tea manufacture];AG.01.h.01.f [Nut]
A006273|GELATIN SEEP|AG.01 [Food]
A006274|GELATIN SETS|AG.01 [Food]
A006275|MINIATURE MARSHMALLOWS|AF.12 [Particular plants/herbs/shrubs];AE.14.d.02 [Dog]
A006276|HOT STRAWBERRY GLAZE|AG.01.h.01.b [Berry];AG.01 [Food]
A006277|DICED PEACHES|AG.01.h.01.e [Fruit containing stone]
A006278|CREAM FRAICHE MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food]
A006279|ICE COLD WATER|AG.01.z [Water]
A006280|RAISIN MIXTURE|AG.01.h.01.b [Berry];AG.01.af [Tea manufacture];AG.01.h.01 [Fruit/a fruit]
A006281|WELL DRAINED ORANGES|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006282|DRY ORANGE FLAVORED GELATIN POWDER|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006283|MOUSSE FIRMS|AG.01.n.03 [Puddings]
A006284|CHEESECAKE FILLING|AG.01 [Food]
A006285|CHOPPED ORANGE|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006286|BLENDED PINEAPPLE MIXTURE|AG.01.af [Tea manufacture]
A006287|STICKY DOUGH FORMS|AG.01.n.11 [Bread]
A006288|COOKIE DOUGH MIXTURE|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.af [Tea manufacture]
A006289|COOKIE DOUGH BALLS|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A006290|CHOCOLATE BARK|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006291|COOKIE DOUGH BALL|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A006292|DIPPED BALL|AG.01 [Food]
A006293|FROST CAKE|AG.01.n.13 [Cake]
A006294|COCONUT SAUCE|AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01.h.01.f [Nut]
A006295|TOP PASTRY|AG.01.n.15 [Pastry]
A006296|FINGER LENGTH BARS|AG.01.ak.01 [Drinking place]
A006297|MANGO MOUSSE|AG.01.n.03 [Puddings]
A006298|THICKENED GELATIN|AG.01 [Food]
A006299|MARMALADE|AG.01.n.18 [Preserve]
A006300|CORNFLAKE CRUMBS|AG.01.n.11 [Bread]
A006301|CANDIED PEEL|AG.01 [Food]
A006302|CANDIED CHERRY|AG.01.h.01.e [Fruit containing stone];AG.01.t.06 [Preserving/pickling]
A006303|LOOSE OATMEAL|AG.01.j [Meal];AG.01.n.02 [Soup/pottage]
A006304|VANILLA ICE CREAM SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01 [Food]
A006305|ICE CREAM SAUCE|AG.01.e [Dairy produce];AG.01.h [Fruit and vegetables];AG.01.n [Dishes and prepared food];AG.01 [Food];AG.01.l.04 [Sauce/dressing]
A006306|STRAWBERRY EXTRACT|AG.01.n.18 [Preserve];AG.01.h.01.b [Berry]
A006307|BLUE FOOD|AG.01 [Food]
A006308|SHARK 'S FIN|AE.14.b [Order Cetacea (whales, dolphins)];AE.08.i [Class Insecta (insects)];AE.10.a [Order Pleurotremata (sharks)];AE.10 [Fish]
A006309|FIN|AE.14.b [Order Cetacea (whales, dolphins)];AE.10 [Fish]
A006310|HOT RICE MIXTURE|AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain];AG.01 [Food]
A006311|CREAMY SUGAR MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006312|COOKIES 1-INCH|AG.01 [Food]
A006313|WATERMELON RIND|AG.01.d.05 [Pork];AG.01.z [Water]
A006314|RETURN WATERMELON|AG.01.z [Water]
A006315|TRANSFER WATERMELON|AG.01.z [Water]
A006316|1-INCH-THICK DISKS|AG.01 [Food]
A006317|BROWNIE|AG.01 [Food]
A006318|DEGREES F. ROLL DOUGH|AG.01.n.11 [Bread]
A006319|FROSTED COOKIES|AG.01 [Food]
A006320|CHOCOLATE-COVERED NOUGAT|AG.01 [Food]
A006321|LEMON CAKE MIX|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation];AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006322|LEMON INSTANT PUDDING|AG.01.h.01.a [Citrus fruit];AG.01.n.03 [Puddings];AG.01.ab [Fruit juice/squash];AG.01 [Food]
A006323|KEY LIME|AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006324|WARM TARTS|AG.01.n.15 [Pastry]
A006325|LAY BERRIES|AG.01.h.01.b [Berry]
A006326|FLUID OUNCE WHISKEY|AE.14.c [Family Felidae (felines)]
A006327|FROSTED CUPCAKES|AG.01 [Food]
A006328|COATED BANANA|AG.01.h.01 [Fruit/a fruit]
A006329|FRY DOUGH BALLS|AG.01.n.11 [Bread]
A006330|TRANSFER BALLS|AG.01 [Food]
A006331|HOT COCONUT MILK|AG.01.e [Dairy produce];AG.01.h.01.f [Nut];AG.01 [Food]
A006332|COOL COCONUT COATING|AG.01.h.01.f [Nut]
A006333|ICE POP|AG.01 [Food]
A006334|CORN FLOUR|AG.01.j [Meal];AG.01.k [Flour];AG.01.i [Corn/cereals/grain]
A006335|TURKISH DELIGHT|AG.01 [Food]
A006336|CRUSHED PRETZELS|AG.01.n.14 [Biscuit]
A006337|LEMON-FLAVORED GELATIN MIX|AG.01.m [Substances for food preparation];AG.01 [Food]
A006338|STRAINED LEMON JUICE|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash];AG.01.h.01.a [Citrus fruit]
A006339|EXPOSED DOUGH|AG.01.n.11 [Bread]
A006340|EXPOSED CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006341|PEAR HALF|AG.01.h.01.d [Pear]
A006342|CENTER PEAR|AG.01.h.01.d [Pear]
A006343|TOFFEE SYRUP|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006344|RUM FLAVORING|AG.01.y.01 [Intoxicating liquor]
A006345|FLAX EGG|AG.01.g [Eggs]
A006346|ADDITIONAL CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006347|SPAGHETTI SQUASH|AG.01.ab [Fruit juice/squash];AG.01.n [Dishes and prepared food]
A006348|PREBAKED PIE SHELL|AG.01.n.15 [Pastry];AG.01.o [Animal food]
A006349|SIFTED FLOUR MIXTURE|AG.01.j [Meal];AG.01.k [Flour];AG.01.af [Tea manufacture]
A006350|FOLD CREAM|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food]
A006351|MERINGUES|AG.01 [Food]
A006352|LARGE MICROWAVE-SAFE MUGS|AF.20.f [Pulses/plants producing pulses];AE.14.m.01 [Genus Ovis (sheep)]
A006353|DEGREES F. GREASE|AG.01 [Food]
A006354|YELLOW BATTER|AG.01.m [Substances for food preparation]
A006355|BITS|AG.01 [Food]
A006356|SUGAR CINNAMON MIXTURE|AG.01.l.03 [Spice];AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006357|WARM PEACH HALVES|AG.01.h.01.e [Fruit containing stone]
A006358|PIE CRUST STRIPS|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006359|ROUND PIES|AG.01.n.15 [Pastry]
A006360|COOLED PIES|AG.01.n.15 [Pastry]
A006361|FLOWER MIXTURE|AG.01.af [Tea manufacture]
A006362|COCONUT OIL MIXTURE|AG.01.h.01.f [Nut];AG.01.af [Tea manufacture];AG.01.f [Fat/oil]
A006363|MELTED COCONUT OIL|AG.01.h.01.f [Nut];AG.01.t.07 [Cooking];AG.01.f [Fat/oil]
A006364|SWEET SYRUP|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006365|CRUMBLE|AG.01.n.08 [Prepared fruit and dishes]
A006366|PEAR INTACT|AG.01.h.01.d [Pear]
A006367|PEAR HALVES|AG.01.h.01.d [Pear]
A006368|HASSELBACKED PEARS|AG.01.h.01.d [Pear]
A006369|CHOCOLATES|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006370|CONVERSATION HEART CANDIES|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006371|FREEZE-DRIED STRAWBERRIES|AG.01.h.01.b [Berry];AG.01.t.06 [Preserving/pickling]
A006372|ICE TOP|AG.01 [Food]
A006373|SURE FLOUR|AG.01.j [Meal];AG.01.k [Flour]
A006374|FLUFFY CAKE|AG.01.n.13 [Cake]
A006375|BOTTOM CRUSTS|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006376|DASH VANILLA EXTRACT|AG.01.t.02 [Preparation of dairy produce]
A006377|EGG WHITES MIXTURE|AG.01.k [Flour];AG.01.af [Tea manufacture];AG.01.g [Eggs]
A006378|SPOONFULS MILK MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture]
A006379|QUART CREAM|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food]
A006380|CHILLED CREAM|AG.01.e [Dairy produce];AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.n [Dishes and prepared food]
A006381|PUDDING FILLING|AG.01.n.03 [Puddings]
A006382|FROZEN COOKIE DOUGH BALL|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.t.06 [Preserving/pickling]
A006383|CAKE PORTION|AG.01.p [Amounts of food];AG.01.n.13 [Cake]
A006384|BECEL BUTTERY TASTE MARGARINE|AG.01.f [Fat/oil]
A006385|TOFFEE|AG.01 [Food]
A006386|BAKING PROCESS|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A006387|VANILLA FROSTING|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AF.12 [Particular plants/herbs/shrubs]
A006388|CRUSHED CANDIES|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006389|COOKIE SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.n.13 [Cake]
A006390|CHOPPED HAZELNUTS|AG.01 [Food]
A006391|COOKIE BATTER|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation]
A006392|MELTED GHEE|AG.01.t.07 [Cooking]
A006393|GLUTEN-FREE ALL-PURPOSE FLOUR|AG.01.j [Meal];AG.01.k [Flour]
A006394|VANILLA BEAN PASTE|AG.01.n.17 [Confections/sweetmeats];AG.01.l [Additive]
A006395|STEWED STRAWBERRIES|AG.01.h.01.b [Berry];AG.01.ac [Tea];AG.01.t.07 [Cooking]
A006396|COOKIE CRUST|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.15 [Pastry]
A006397|CHOCOLATE SHELL TOPPING|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.o [Animal food]
A006398|VANILLA WAFER FLAT-SIDE|AG.01.n.13 [Cake]
A006399|CRUSHED WAFERS|AG.01.n.13 [Cake]
A006401|PREPARED CUPCAKE MOLD|AG.01 [Food]
A006402|CUPCAKE MOLD|AG.01 [Food]
A006403|CUSTARDS|AG.01.n.16 [Egg dishes];AG.01.n.15 [Pastry]
A006404|CITRUS-FLAVORED SODA|AG.01.aa [Aerated/carbonated drink];AG.01.m [Substances for food preparation]
A006405|LIQUID GELATIN|AG.01 [Food]
A006406|VANILLA INSTANT PUDDING|AG.01.n.03 [Puddings];AG.01 [Food]
A006407|QUARTER-SIZE BALLS|AG.01 [Food]
A006408|MIXTURE FOAMS|AG.01.af [Tea manufacture]
A006409|MINI MUFFINS|AG.01.n.13 [Cake];AG.01.w [Setting table]
A006410|ROUND BROWNIES|AG.01 [Food]
A006411|BROWNIE PIECE|AG.01.n.11 [Bread]
A006412|GRAPE MOLASSES|AG.01.h.01.b [Berry]
A006413|MUFFIN CUP HALF-FULL|AG.01.n.13 [Cake];AG.01.w [Setting table]
A006415|BAKING CHIPS|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A006416|COOLED CAKES|AG.01.n.13 [Cake];AG.01.o [Animal food]
A006417|SUPERFINE SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006418|EXCESS SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006419|CRISPY CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006420|SUGAR-DUSTED CUSTARDS|AG.01.n.16 [Egg dishes];AG.01.n.15 [Pastry]
A006421|ORGANIC LIQUID STEVIA BLEND|AG.01.a [Qualities of food]
A006422|VANILLA FLAVOR|AF.12 [Particular plants/herbs/shrubs]
A006423|STEMLESS TULIP SHAPE|AF.29 [Particular cultivated/ornamental plants];AF.10.a [Stem/stalk];AF.30.b [Poisonous/harmful plants];AF.13.c [Non-British trees/shrubs]
A006424|CUT-OUT COOKIES|AG.01 [Food]
A006425|WET ICING|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006426|PUPILS|AG.01 [Food]
A006427|CASSAVA FLOUR|AG.01.n.11 [Bread];AG.01.j [Meal];AG.01.k [Flour];AG.01.h.02.a [Root vegetable]
A006428|MAPLE SYRUP MIXTURE|AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006429|RUMS|AG.01.y.01 [Intoxicating liquor]
A006430|ALCOHOL|AG.01.y.01 [Intoxicating liquor];AG.01 [Food]
A006431|COOKING RACK SEAM SIDE|AG.01.s.01 [Feeding animals];AG.01.r [Meal];AG.01.t.07 [Cooking]
A006432|FLOUR 10-INCH BUNDT|AG.01.j [Meal];AG.01.k [Flour]
A006433|ICING SUGAR|AG.01 [Food]
A006434|ADDITIONAL ICING SUGAR|AG.01 [Food]
A006435|COCOA MIX|AG.01.m [Substances for food preparation];AG.01 [Food]
A006436|TOASTER PASTRIES|AG.01.t.08 [Equipment for food preparation];AG.01.n.15 [Pastry];AG.01.t.07 [Cooking]
A006437|TOASTER PASTRY|AG.01.t.08 [Equipment for food preparation];AG.01.t.05 [Preparation for table/cooking];AG.01.n.15 [Pastry];AG.01.t.07 [Cooking]
A006438|TRANSFER PEANUT BUTTER MIXTURE|AG.01.e.01 [Butter];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food];AG.01.h.01.f [Nut]
A006439|TRUFFLE MIXTURE|AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi];AG.01.af [Tea manufacture]
A006440|CANDY CANE POWDER|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006441|STORE MINTS|AG.01.h.02.i [Herb]
A006442|BALLS FLAT|AE.07.a [Markings/colourings];AG.01 [Food]
A006443|SEMI-SWEET CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006444|WHITE CAKE MIX|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation]
A006445|CHEESECAKE-FLAVORED PUDDING MIX|AG.01.n.03 [Puddings]
A006446|ICING TIP|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006447|GELATIN SQUARES|AG.01 [Food]
A006448|SANDWICH COOKIE|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A006449|CHOCOLATE COOKIES|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006450|MELTED FILLING|AG.01.t.07 [Cooking]
A006451|STRAWBERRY SAUCE|AG.01.h.01.b [Berry];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A006452|RESERVED STRAWBERRY SAUCE|AG.01.h.01.b [Berry];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A006453|RICE PUDDING|AG.01.i [Corn/cereals/grain];AG.01.n.03 [Puddings]
A006454|ANISE MIXTURE|AG.01.af [Tea manufacture]
A006455|DOUGH ROUNDS|AG.01.n.11 [Bread];AG.01.y.01 [Intoxicating liquor]
A006456|CUT COOKIES|AG.01 [Food]
A006457|ELECTRIC MIXER BEAT CAKE MIX|AG.01.t.08 [Equipment for food preparation];AG.01.n.13 [Cake];AG.01.m [Substances for food preparation]
A006458|RUM GLAZE|AG.01.y.01 [Intoxicating liquor];AG.01 [Food]
A006459|CORED APPLE|AG.01.h.01.c [Apple]
A006460|WARM CREAM MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food]
A006461|WARMED EGG MIXTURE|AG.01.af [Tea manufacture];AG.01.g [Eggs]
A006462|BUTTERSCOTCH CHIP MIXTURE|AG.01.af [Tea manufacture]
A006463|GRAHAM CRACKER CRUMB MIXTURE|AG.01.n.11 [Bread];AG.01.k [Flour];AG.01.af [Tea manufacture]
A006464|CHOCOLATE BAR|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.ak.01 [Drinking place]
A006465|PAINTED MARSHMALLOWS|AF.12 [Particular plants/herbs/shrubs]
A006466|CHOCOLATE CHIP|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006467|FOLD CHOCOLATE BARS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.ak.01 [Drinking place]
A006468|CHOCOLATE PUDDING|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings]
A006469|GUMMY WORMS|AE.08.b [Division Vermes (worms)]
A006470|CHOCOLATE ICE CREAM|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01 [Food];AG.01.m [Substances for food preparation]
A006471|COATED POPCORN MIXTURE|AG.01.af [Tea manufacture]
A006472|PUMPKIN SEED MIXTURE|AG.01.h.02.f [Fruits as vegetables];AG.01.af [Tea manufacture]
A006473|MOISTENED PASTRY BRUSH|AG.01.n.15 [Pastry]
A006474|SUGAR MIXTURE COOKS|AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.t.07 [Cooking]
A006475|SMOOTH CARAMEL|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.y.01 [Intoxicating liquor]
A006476|MELTED HAZELNUT|AG.01.t.07 [Cooking]
A006477|CARAMEL MIXTURE|AG.01.n.17.a [Sweets];AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006478|TRUFFLE BALLS|AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi]
A006479|OVER WATER|AG.01.z [Water]
A006480|EXCESS COATING|AG.01 [Food]
A006481|FINISHED TRUFFLES|AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi]
A006482|WHITE WHEAT FLOUR|AG.01.j [Meal];AG.01.k [Flour];AG.01.i [Corn/cereals/grain]
A006483|GRAINY BATTER FORMS|AG.01.m [Substances for food preparation];AG.01.i [Corn/cereals/grain]
A006484|BROWNIE BATTER|AG.01.m [Substances for food preparation]
A006485|DOZEN MINIATURE MUFFIN|AG.01.n.13 [Cake];AG.01.w [Setting table]
A006486|AMARANTH GRAINS|AF.20.g [Cereal/corn/grain]
A006487|DICED BUDDHA 'S HAND|AG.01 [Food]
A006488|CITRUS|AF.23 [Particular timber trees/shrubs];AF.20.b [Particular fruit-tree/-plant]
A006489|BUDDHA 'S HAND|AG.01 [Food]
A006490|DRAINED CITRUS|AF.23 [Particular timber trees/shrubs];AF.20.b [Particular fruit-tree/-plant]
A006491|EQUAL-SIZE BALLS|AG.01 [Food]
A006492|DOUGH BALLS 2-INCHES|AG.01.n.11 [Bread]
A006493|MARSHMALLOW FLUFF|AE.13.g [Feather];AF.12 [Particular plants/herbs/shrubs];AE.07.d [Covering/skin]
A006494|STRAWBERRY JELLY|AG.01.n.04 [Jelly];AG.01.h.01.b [Berry]
A006495|MARSHMALLOW FLUFF MIXTURE|AG.01.af [Tea manufacture]
A006496|PUFF PASTRY PIECES|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006497|PUFF PASTRY PIECE|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006498|DOUGH PORTIONS|AG.01.n.11 [Bread];AG.01.p [Amounts of food]
A006499|DOUGH 2-INCHES|AG.01.n.11 [Bread]
A006500|CHOCOLATE MINT CANDIES|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.h.02.i [Herb];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006501|MELTED MINT CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006502|RESERVE RAISIN WATER|AG.01.z [Water];AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A006503|COOLED RAISIN WATER|AG.01.z [Water];AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A006504|CANDIED FRUIT|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.h [Fruit and vegetables];AG.01.h.01 [Fruit/a fruit]
A006505|SOMEWHAT-THIN BATTER|AG.01.m [Substances for food preparation]
A006506|COATED CANDY BAR|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ak.01 [Drinking place]
A006507|ICE CREAM MAKER SPECIFICATIONS|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01 [Food]
A006508|ICE CREAM MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01.n [Dishes and prepared food];AG.01 [Food]
A006509|COLD BUTTER PIECES|AG.01.n.11 [Bread];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A006510|PIERCE DOUGH|AG.01.n.11 [Bread]
A006511|TRIANGLE COOKIES|AG.01 [Food]
A006512|MILK CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.m [Substances for food preparation]
A006513|MILK CHOCOLATE MIXTURE|AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.m [Substances for food preparation];AG.01.af [Tea manufacture]
A006514|CHOCOLATE SETS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006515|DOUGH MIXTURE|AG.01.n.11 [Bread];AG.01.af [Tea manufacture]
A006516|TRIFLE|AG.01.n [Dishes and prepared food];AG.01.n.17 [Confections/sweetmeats];AG.01 [Food]
A006517|PUMPKIN CAKE|AG.01.h.02.f [Fruits as vegetables];AG.01.n.13 [Cake]
A006518|PUMPKIN ROLL|AG.01.h.02.f [Fruits as vegetables];AG.01.n.11 [Bread]
A006519|ADDITIONAL CONFECTIONERS ' SUGAR|AG.01.t.05 [Preparation for table/cooking];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.t.07 [Cooking]
A006520|RASPBERRY GELATIN|AG.01.h.01.b [Berry]
A006521|FOLD FROZEN RASPBERRIES|AG.01.h.01.b [Berry];AG.01.t.06 [Preserving/pickling]
A006522|WARM GELATIN|AG.01 [Food]
A006523|COLD RASPBERRIES|AG.01.h.01.b [Berry]
A006524|WHOLE BAR|AG.01.e [Dairy produce];AG.01.ak.01 [Drinking place]
A006525|SPREAD CHOCOLATE|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A006526|COOLED CUSTARD|AG.01.n.16 [Egg dishes];AG.01.n.15 [Pastry]
A006527|TOP CAKE|AG.01.n.13 [Cake]
A006528|CAKE MIX BATTER|AG.01.n.13 [Cake];AG.01.m [Substances for food preparation]
A006529|ANGEL FOOD CAKE|AG.01.n.13 [Cake];AG.01 [Food]
A006530|FAT-FREE MILK|AG.01.e [Dairy produce];AG.01.d [Animals for food];AG.01.f [Fat/oil]
A006531|PREPARED DOUGH|AG.01.n.11 [Bread]
A006532|PUMPKIN BARS|AG.01.h.02.f [Fruits as vegetables];AG.01.ak.01 [Drinking place]
A006533|RIGID BALL|AG.01 [Food]
A006534|PIE DOUGH STRIPS|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006535|TOP CRUST PIECES|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006536|BUTTER-PEACH JUICE MIXTURE|AG.01.af [Tea manufacture];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash]
A006537|FINISHED CANDY|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006538|EXCESS CRUST|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006539|VANILLA INSTANT PUDDING MIX|AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings];AG.01 [Food]
A006540|COARSE SUGAR|AG.01.a [Qualities of food];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006541|CHOPPED LICORICE|AG.01 [Food]
A006542|BROKEN PRETZELS|AG.01.n.14 [Biscuit]
A006543|HOT CARAMEL|AG.01.n.17.a [Sweets];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01 [Food]
A006544|FEEDING TUBE|AG.01.a [Qualities of food];AG.01.x.01 [Eating]
A006545|CHILLED CHEESECAKE|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling]
A006546|NONFAT MILK POWDER|AG.01.e [Dairy produce]
A006547|BLACK TEA|AG.01.r [Meal];AG.01.af [Tea manufacture];AG.01.ac [Tea]
A006548|COOLED TEA MIXTURE|AG.01.r [Meal];AG.01.af [Tea manufacture];AG.01.ac [Tea]
A006549|SOUR CREAM TOPPING|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food]
A006550|FAVOURITE PIE|AG.01.n.15 [Pastry]
A006551|CAKE MIXTURE|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.af [Tea manufacture]
A006552|STIFF BATTER FORMS|AG.01.m [Substances for food preparation]
A006553|BOILING PEACH SYRUP|AG.01.h.01.e [Fruit containing stone];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A006554|PIE CRUST PASTRIES|AG.01.n.11 [Bread];AG.01.n.15 [Pastry]
A006555|HAND PIES|AG.01.n.15 [Pastry]
A006556|BARK|AF.10.l [Wood, other part of tree/woody plant];AE.02 [Animals defined by noises];AE.14.d.02 [Dog]
A006557|TREE BARK|AF.10.l [Wood, other part of tree/woody plant];AF.07 [Tree/woody plant];AE.02 [Animals defined by noises]
A006558|GREEN TOMATO|AG.01.h.02.f [Fruits as vegetables]
A006559|HOT MILK MIXTURE|AG.01.e [Dairy produce];AG.01.af [Tea manufacture];AG.01 [Food]
A006560|CHILLED EGG MIXTURE|AG.01.t.06 [Preserving/pickling];AG.01.t.05 [Preparation for table/cooking];AG.01.af [Tea manufacture];AG.01.g [Eggs]
A006561|CHURNED MILK MIXTURE|AG.01.t.02 [Preparation of dairy produce];AG.01.e [Dairy produce];AG.01.af [Tea manufacture]
A006562|CHOPPED FIGS|AG.01.h.01 [Fruit/a fruit]
A006563|CHILLED CUSTARD|AG.01.n.16 [Egg dishes];AG.01.t.06 [Preserving/pickling];AG.01.t.05 [Preparation for table/cooking];AG.01.n.15 [Pastry]
A006564|CHILL CUSTARD|AG.01.n.16 [Egg dishes];AG.01.n.15 [Pastry]
